date,sales,prix,wday,month,snap_WI
2011-09-23,111.0,1.28,7,9,0
2011-09-24,168.0,1.28,1,9,0
2011-09-25,162.0,1.28,2,9,0
2011-09-26,127.0,1.28,3,9,0
2011-09-27,72.0,1.28,4,9,0
2011-09-28,58.0,1.28,5,9,0
2011-09-29,100.0,1.28,6,9,0
2011-09-30,133.0,1.28,7,9,0
2011-10-01,166.0,1.28,1,10,0
2011-10-02,207.0,1.28,2,10,1
2011-10-03,116.0,1.28,3,10,1
2011-10-04,85.0,1.28,4,10,0
2011-10-05,102.0,1.28,5,10,1
2011-10-06,102.0,1.28,6,10,1
2011-10-07,227.0,1.28,7,10,0
2011-10-08,182.0,1.28,1,10,1
2011-10-09,176.0,1.28,2,10,1
2011-10-10,79.0,1.28,3,10,0
2011-10-11,85.0,1.28,4,10,1
2011-10-12,112.0,1.28,5,10,1
2011-10-13,100.0,1.28,6,10,0
2011-10-14,155.0,1.28,7,10,1
2011-10-15,168.0,1.28,1,10,1
2011-10-16,184.0,1.28,2,10,0
2011-10-17,110.0,1.28,3,10,0
2011-10-18,75.0,1.28,4,10,0
2011-10-19,53.0,1.28,5,10,0
2011-10-20,71.0,1.28,6,10,0
2011-10-21,102.0,1.28,7,10,0
2011-10-22,145.0,1.28,1,10,0
2011-10-23,97.0,1.28,2,10,0
2011-10-24,82.0,1.28,3,10,0
2011-10-25,57.0,1.28,4,10,0
2011-10-26,82.0,1.28,5,10,0
2011-10-27,113.0,1.28,6,10,0
2011-10-28,168.0,1.28,7,10,0
2011-10-29,173.0,1.28,1,10,0
2011-10-30,107.0,1.28,2,10,0
2011-10-31,55.0,1.28,3,10,0
2011-11-01,69.0,1.28,4,11,0
2011-11-02,94.0,1.28,5,11,1
2011-11-03,100.0,1.28,6,11,1
2011-11-04,130.0,1.28,7,11,0
2011-11-05,140.0,1.28,1,11,1
2011-11-06,149.0,1.28,2,11,1
2011-11-07,84.0,1.28,3,11,0
2011-11-08,66.0,1.28,4,11,1
2011-11-09,95.0,1.28,5,11,1
2011-11-10,118.0,1.28,6,11,0
2011-11-11,125.0,1.28,7,11,1
2011-11-12,156.0,1.28,1,11,1
2011-11-13,114.0,1.28,2,11,0
2011-11-14,91.0,1.28,3,11,1
2011-11-15,100.0,1.28,4,11,1
2011-11-16,83.0,1.28,5,11,0
2011-11-17,75.0,1.28,6,11,0
2011-11-18,119.0,1.28,7,11,0
2011-11-19,106.0,1.28,1,11,0
2011-11-20,107.0,1.28,2,11,0
2011-11-21,91.0,1.28,3,11,0
2011-11-22,92.0,1.28,4,11,0
2011-11-23,163.0,1.28,5,11,0
2011-11-24,101.0,1.28,6,11,0
2011-11-25,100.0,1.28,7,11,0
2011-11-26,96.0,1.28,1,11,0
2011-11-27,91.0,1.28,2,11,0
2011-11-28,39.0,1.28,3,11,0
2011-11-29,94.0,1.28,4,11,0
2011-11-30,69.0,1.28,5,11,0
2011-12-01,66.0,1.28,6,12,0
2011-12-02,173.0,1.28,7,12,1
2011-12-03,200.0,1.28,1,12,1
2011-12-04,149.0,1.28,2,12,0
2011-12-05,112.0,1.28,3,12,1
2011-12-06,93.0,1.28,4,12,1
2011-12-07,81.0,1.28,5,12,0
2011-12-08,126.0,1.28,6,12,1
2011-12-09,116.0,1.28,7,12,1
2011-12-10,166.0,1.28,1,12,0
2011-12-11,128.0,1.28,2,12,1
2011-12-12,114.0,1.28,3,12,1
2011-12-13,75.0,1.28,4,12,0
2011-12-14,96.0,1.28,5,12,1
2011-12-15,103.0,1.28,6,12,1
2011-12-16,178.0,1.28,7,12,0
2011-12-17,148.0,1.28,1,12,0
2011-12-18,102.0,1.28,2,12,0
2011-12-19,222.0,1.28,3,12,0
2011-12-20,2.0,1.28,4,12,0
2011-12-21,101.36602363627827,1.28,5,12,0
2011-12-22,4.0,1.28,6,12,0
2011-12-23,10.0,1.28,7,12,0
2011-12-24,288.0,1.48,1,12,0
2011-12-25,71.3014574587088,1.48,2,12,0
2011-12-26,86.0,1.48,3,12,0
2011-12-27,106.0,1.48,4,12,0
2011-12-28,31.0,1.48,5,12,0
2011-12-29,51.67176704894189,1.48,6,12,0
2011-12-30,45.498727446439375,1.48,7,12,0
2011-12-31,374.0,1.28,1,12,0
2012-01-01,82.0,1.28,2,1,0
2012-01-02,76.0,1.28,3,1,1
2012-01-03,106.0,1.28,4,1,1
2012-01-04,128.0,1.28,5,1,0
2012-01-05,85.0,1.28,6,1,1
2012-01-06,96.0,1.28,7,1,1
2012-01-07,145.0,1.28,1,1,0
2012-01-08,134.0,1.28,2,1,1
2012-01-09,102.0,1.28,3,1,1
2012-01-10,97.0,1.28,4,1,0
2012-01-11,135.0,1.28,5,1,1
2012-01-12,74.0,1.28,6,1,1
2012-01-13,143.0,1.28,7,1,0
2012-01-14,197.0,1.28,1,1,1
2012-01-15,139.0,1.28,2,1,1
2012-01-16,115.0,1.28,3,1,0
2012-01-17,78.0,1.28,4,1,0
2012-01-18,91.0,1.28,5,1,0
2012-01-19,80.0,1.28,6,1,0
2012-01-20,109.0,1.28,7,1,0
2012-01-21,193.0,1.28,1,1,0
2012-01-22,175.0,1.28,2,1,0
2012-01-23,70.0,1.28,3,1,0
2012-01-24,106.21457663376378,1.28,4,1,0
2012-01-25,111.79981190577797,1.28,5,1,0
2012-01-26,100.85060685206679,1.28,6,1,0
2012-01-27,84.70757055571028,1.28,7,1,0
2012-01-28,117.64853241088827,1.28,1,1,0
2012-01-29,117.85297474439949,1.28,2,1,0
2012-01-30,107.58639338089324,1.28,3,1,0
2012-01-31,112.78286683874154,1.28,4,1,0
2012-02-01,103.95091883389597,1.28,5,2,0
2012-02-02,108.32085288583357,1.28,6,2,1
2012-02-03,99.24624504167912,1.28,7,2,1
2012-02-04,121.8295101305207,1.28,1,2,0
2012-02-05,128.42703287767785,1.28,2,2,1
2012-02-06,116.95672408129167,1.28,3,2,1
2012-02-07,101.68700481736141,1.28,4,2,0
2012-02-08,113.75995415066154,1.28,5,2,1
2012-02-09,99.50598118016899,1.28,6,2,1
2012-02-10,88.37042790619324,1.28,7,2,0
2012-02-11,107.36219306930911,1.34,1,2,1
2012-02-12,106.86389976622814,1.34,2,2,1
2012-02-13,99.76990111041482,1.34,3,2,0
2012-02-14,93.28072883045746,1.34,4,2,1
2012-02-15,87.64344658299171,1.34,5,2,1
2012-02-16,63.0,1.34,6,2,0
2012-02-17,108.0,1.34,7,2,0
2012-02-18,149.0,1.34,1,2,0
2012-02-19,120.0,1.34,2,2,0
2012-02-20,86.0,1.34,3,2,0
2012-02-21,87.0,1.34,4,2,0
2012-02-22,75.0,1.34,5,2,0
2012-02-23,70.0,1.34,6,2,0
2012-02-24,78.0,1.34,7,2,0
2012-02-25,133.0,1.34,1,2,0
2012-02-26,131.0,1.34,2,2,0
2012-02-27,62.0,1.34,3,2,0
2012-02-28,67.0,1.34,4,2,0
2012-02-29,56.0,1.34,5,2,0
2012-03-01,62.0,1.34,6,3,0
2012-03-02,113.0,1.34,7,3,1
2012-03-03,159.0,1.34,1,3,1
2012-03-04,145.0,1.34,2,3,0
2012-03-05,77.0,1.34,3,3,1
2012-03-06,137.0,1.34,4,3,1
2012-03-07,83.0,1.34,5,3,0
2012-03-08,83.0,1.34,6,3,1
2012-03-09,101.0,1.34,7,3,1
2012-03-10,166.0,1.34,1,3,0
2012-03-11,130.0,1.34,2,3,1
2012-03-12,158.0,1.34,3,3,1
2012-03-13,88.0,1.34,4,3,0
2012-03-14,114.0,1.34,5,3,1
2012-03-15,91.0,1.34,6,3,1
2012-03-16,142.0,1.34,7,3,0
2012-03-17,162.0,1.34,1,3,0
2012-03-18,124.0,1.34,2,3,0
2012-03-19,75.0,1.34,3,3,0
2012-03-20,92.0,1.34,4,3,0
2012-03-21,77.0,1.34,5,3,0
2012-03-22,79.0,1.34,6,3,0
2012-03-23,104.0,1.34,7,3,0
2012-03-24,158.0,1.34,1,3,0
2012-03-25,116.0,1.34,2,3,0
2012-03-26,76.0,1.34,3,3,0
2012-03-27,65.0,1.34,4,3,0
2012-03-28,5.0,1.34,5,3,0
2012-03-29,84.22771463385567,1.34,6,3,0
2012-03-30,56.94160369274783,1.34,7,3,0
2012-03-31,160.0,1.48,1,3,0
2012-04-01,112.0,1.48,2,4,0
2012-04-02,82.0,1.48,3,4,1
2012-04-03,84.0,1.48,4,4,1
2012-04-04,78.0,1.48,5,4,0
2012-04-05,82.0,1.48,6,4,1
2012-04-06,127.0,1.48,7,4,1
2012-04-07,104.0,1.48,1,4,0
2012-04-08,121.0,1.48,2,4,1
2012-04-09,62.0,1.48,3,4,1
2012-04-10,58.0,1.48,4,4,0
2012-04-11,78.0,1.48,5,4,1
2012-04-12,55.0,1.48,6,4,1
2012-04-13,95.0,1.48,7,4,0
2012-04-14,172.0,1.48,1,4,1
2012-04-15,86.0,1.48,2,4,1
2012-04-16,55.0,1.48,3,4,0
2012-04-17,55.0,1.48,4,4,0
2012-04-18,57.0,1.48,5,4,0
2012-04-19,41.0,1.48,6,4,0
2012-04-20,94.0,1.48,7,4,0
2012-04-21,104.0,1.48,1,4,0
2012-04-22,96.0,1.48,2,4,0
2012-04-23,52.0,1.48,3,4,0
2012-04-24,45.0,1.48,4,4,0
2012-04-25,85.0,1.48,5,4,0
2012-04-26,44.0,1.48,6,4,0
2012-04-27,89.0,1.48,7,4,0
2012-04-28,117.0,1.48,1,4,0
2012-04-29,106.0,1.48,2,4,0
2012-04-30,31.0,1.48,3,4,0
2012-05-01,53.0,1.48,4,5,0
2012-05-02,92.0,1.48,5,5,1
2012-05-03,92.0,1.48,6,5,1
2012-05-04,106.0,1.48,7,5,0
2012-05-05,125.0,1.48,1,5,1
2012-05-06,113.0,1.48,2,5,1
2012-05-07,68.0,1.48,3,5,0
2012-05-08,40.0,1.48,4,5,1
2012-05-09,79.0,1.48,5,5,1
2012-05-10,78.0,1.48,6,5,0
2012-05-11,111.0,1.48,7,5,1
2012-05-12,171.0,1.48,1,5,1
2012-05-13,100.0,1.48,2,5,0
2012-05-14,91.0,1.48,3,5,1
2012-05-15,67.0,1.48,4,5,1
2012-05-16,46.0,1.48,5,5,0
2012-05-17,66.0,1.48,6,5,0
2012-05-18,132.0,1.48,7,5,0
2012-05-19,105.0,1.48,1,5,0
2012-05-20,71.0,1.48,2,5,0
2012-05-21,32.0,1.48,3,5,0
2012-05-22,58.0,1.48,4,5,0
2012-05-23,33.0,1.48,5,5,0
2012-05-24,67.0,1.48,6,5,0
2012-05-25,88.0,1.48,7,5,0
2012-05-26,119.0,1.48,1,5,0
2012-05-27,97.0,1.48,2,5,0
2012-05-28,47.0,1.48,3,5,0
2012-05-29,24.0,1.48,4,5,0
2012-05-30,46.0,1.48,5,5,0
2012-05-31,62.0,1.48,6,5,0
2012-06-01,65.0,1.48,7,6,0
2012-06-02,111.0,1.48,1,6,1
2012-06-03,72.0,1.48,2,6,1
2012-06-04,56.0,1.48,3,6,0
2012-06-05,39.0,1.48,4,6,1
2012-06-06,50.0,1.48,5,6,1
2012-06-07,39.0,1.48,6,6,0
2012-06-08,128.0,1.48,7,6,1
2012-06-09,98.0,1.48,1,6,1
2012-06-10,81.0,1.48,2,6,0
2012-06-11,70.0,1.48,3,6,1
2012-06-12,58.0,1.48,4,6,1
2012-06-13,40.0,1.48,5,6,0
2012-06-14,89.0,1.48,6,6,1
2012-06-15,107.0,1.48,7,6,1
2012-06-16,132.0,1.48,1,6,0
2012-06-17,16.0,1.48,2,6,0
2012-06-18,44.0,1.48,3,6,0
2012-06-19,65.0,1.48,4,6,0
2012-06-20,50.0,1.48,5,6,0
2012-06-21,64.0,1.48,6,6,0
2012-06-22,112.0,1.48,7,6,0
2012-06-23,80.0,1.48,1,6,0
2012-06-24,85.0,1.48,2,6,0
2012-06-25,57.0,1.48,3,6,0
2012-06-26,46.0,1.48,4,6,0
2012-06-27,55.0,1.48,5,6,0
2012-06-28,81.0,1.48,6,6,0
2012-06-29,89.0,1.48,7,6,0
2012-06-30,51.0,1.48,1,6,0
2012-07-01,81.0,1.48,2,7,0
2012-07-02,83.0,1.48,3,7,1
2012-07-03,156.0,1.48,4,7,1
2012-07-04,58.0,1.48,5,7,0
2012-07-05,45.0,1.48,6,7,1
2012-07-06,11.0,1.48,7,7,1
2012-07-07,91.0,1.34,1,7,0
2012-07-08,75.0,1.34,2,7,1
2012-07-09,62.0,1.34,3,7,1
2012-07-10,45.0,1.34,4,7,0
2012-07-11,36.0,1.34,5,7,1
2012-07-12,68.0,1.34,6,7,1
2012-07-13,98.0,1.34,7,7,0
2012-07-14,76.0,1.34,1,7,1
2012-07-15,116.0,1.34,2,7,1
2012-07-16,56.0,1.34,3,7,0
2012-07-17,54.0,1.34,4,7,0
2012-07-18,85.0,1.34,5,7,0
2012-07-19,39.0,1.34,6,7,0
2012-07-20,79.0,1.34,7,7,0
2012-07-21,122.0,1.34,1,7,0
2012-07-22,70.0,1.34,2,7,0
2012-07-23,49.0,1.34,3,7,0
2012-07-24,44.0,1.34,4,7,0
2012-07-25,87.0,1.34,5,7,0
2012-07-26,27.0,1.34,6,7,0
2012-07-27,86.0,1.34,7,7,0
2012-07-28,98.0,1.34,1,7,0
2012-07-29,79.0,1.34,2,7,0
2012-07-30,69.0,1.34,3,7,0
2012-07-31,75.25948365286996,1.34,4,7,0
2012-08-01,57.0,1.34,5,8,0
2012-08-02,88.0,1.34,6,8,1
2012-08-03,12.0,1.34,7,8,1
2012-08-04,74.0,1.38,1,8,0
2012-08-05,1.0,1.38,2,8,1
2012-08-06,72.0,1.38,3,8,1
2012-08-07,48.0,1.38,4,8,0
2012-08-08,86.0,1.38,5,8,1
2012-08-09,79.0,1.38,6,8,1
2012-08-10,103.0,1.38,7,8,0
2012-08-11,115.0,1.38,1,8,1
2012-08-12,31.0,1.38,2,8,1
2012-08-13,72.0,1.38,3,8,0
2012-08-14,57.0,1.38,4,8,1
2012-08-15,45.0,1.38,5,8,1
2012-08-16,77.0,1.38,6,8,0
2012-08-17,92.0,1.38,7,8,0
2012-08-18,118.0,1.38,1,8,0
2012-08-19,10.0,1.38,2,8,0
2012-08-20,57.0,1.38,3,8,0
2012-08-21,7.0,1.38,4,8,0
2012-08-22,60.0,1.38,5,8,0
2012-08-23,57.0,1.38,6,8,0
2012-08-24,74.0,1.38,7,8,0
2012-08-25,94.0,1.38,1,8,0
2012-08-26,34.0,1.38,2,8,0
2012-08-27,52.0,1.38,3,8,0
2012-08-28,29.0,1.38,4,8,0
2012-08-29,46.0,1.38,5,8,0
2012-08-30,57.0,1.38,6,8,0
2012-08-31,88.0,1.38,7,8,0
2012-09-01,83.0,1.38,1,9,0
2012-09-02,147.0,1.38,2,9,1
2012-09-03,4.0,1.38,3,9,1
2012-09-04,63.0,1.38,4,9,0
2012-09-05,64.0,1.38,5,9,1
2012-09-06,80.0,1.38,6,9,1
2012-09-07,64.0,1.38,7,9,0
2012-09-08,130.0,1.38,1,9,1
2012-09-09,47.0,1.38,2,9,1
2012-09-10,38.0,1.38,3,9,0
2012-09-11,56.0,1.38,4,9,1
2012-09-12,43.0,1.38,5,9,1
2012-09-13,56.0,1.38,6,9,0
2012-09-14,100.0,1.38,7,9,1
2012-09-15,100.0,1.38,1,9,1
2012-09-16,78.0,1.38,2,9,0
2012-09-17,64.0,1.38,3,9,0
2012-09-18,43.0,1.38,4,9,0
2012-09-19,21.0,1.38,5,9,0
2012-09-20,78.0,1.38,6,9,0
2012-09-21,90.0,1.38,7,9,0
2012-09-22,142.0,1.38,1,9,0
2012-09-23,61.0,1.38,2,9,0
2012-09-24,36.0,1.38,3,9,0
2012-09-25,63.0,1.38,4,9,0
2012-09-26,39.0,1.38,5,9,0
2012-09-27,61.0,1.38,6,9,0
2012-09-28,81.0,1.38,7,9,0
2012-09-29,109.0,1.38,1,9,0
2012-09-30,77.0,1.38,2,9,0
2012-10-01,57.0,1.38,3,10,0
2012-10-02,77.0,1.38,4,10,1
2012-10-03,57.0,1.38,5,10,1
2012-10-04,94.0,1.38,6,10,0
2012-10-05,83.0,1.38,7,10,1
2012-10-06,147.0,1.38,1,10,1
2012-10-07,64.0,1.38,2,10,0
2012-10-08,63.0,1.38,3,10,1
2012-10-09,41.0,1.38,4,10,1
2012-10-10,76.0,1.38,5,10,0
2012-10-11,82.0,1.38,6,10,1
2012-10-12,113.0,1.38,7,10,1
2012-10-13,155.0,1.38,1,10,0
2012-10-14,63.0,1.38,2,10,1
2012-10-15,63.0,1.38,3,10,1
2012-10-16,47.0,1.38,4,10,0
2012-10-17,54.0,1.38,5,10,0
2012-10-18,71.0,1.38,6,10,0
2012-10-19,75.0,1.38,7,10,0
2012-10-20,124.07803306046549,1.25,1,10,0
2012-10-21,128.22230368821369,1.25,2,10,0
2012-10-22,113.21102551608271,1.25,3,10,0
2012-10-23,61.0,1.25,4,10,0
2012-10-24,75.0,1.25,5,10,0
2012-10-25,62.0,1.25,6,10,0
2012-10-26,119.0,1.25,7,10,0
2012-10-27,114.0,1.25,1,10,0
2012-10-28,79.0,1.25,2,10,0
2012-10-29,58.0,1.25,3,10,0
2012-10-30,55.0,1.25,4,10,0
2012-10-31,50.0,1.25,5,10,0
2012-11-01,73.0,1.25,6,11,0
2012-11-02,114.0,1.25,7,11,1
2012-11-03,140.0,1.25,1,11,1
2012-11-04,100.0,1.25,2,11,0
2012-11-05,62.0,1.25,3,11,1
2012-11-06,52.0,1.25,4,11,1
2012-11-07,57.0,1.25,5,11,0
2012-11-08,69.0,1.25,6,11,1
2012-11-09,163.0,1.25,7,11,1
2012-11-10,117.0,1.25,1,11,0
2012-11-11,137.0,1.25,2,11,1
2012-11-12,105.0,1.25,3,11,1
2012-11-13,71.0,1.25,4,11,0
2012-11-14,102.0,1.25,5,11,1
2012-11-15,87.0,1.25,6,11,1
2012-11-16,128.0,1.25,7,11,0
2012-11-17,186.0,1.25,1,11,0
2012-11-18,167.0,1.25,2,11,0
2012-11-19,127.0,1.25,3,11,0
2012-11-20,109.0,1.25,4,11,0
2012-11-21,186.0,1.25,5,11,0
2012-11-22,210.0,1.25,6,11,0
2012-11-23,6.0,1.25,7,11,0
2012-11-24,169.0,1.25,1,11,0
2012-11-25,92.0,1.25,2,11,0
2012-11-26,66.0,1.25,3,11,0
2012-11-27,64.0,1.25,4,11,0
2012-11-28,70.0,1.25,5,11,0
2012-11-29,81.0,1.25,6,11,0
2012-11-30,128.0,1.25,7,11,0
2012-12-01,275.0,1.25,1,12,0
2012-12-02,115.0,1.25,2,12,1
2012-12-03,133.0,1.25,3,12,1
2012-12-04,78.0,1.25,4,12,0
2012-12-05,86.0,1.25,5,12,1
2012-12-06,95.0,1.25,6,12,1
2012-12-07,149.0,1.25,7,12,0
2012-12-08,209.0,1.25,1,12,1
2012-12-09,121.0,1.25,2,12,1
2012-12-10,96.0,1.25,3,12,0
2012-12-11,97.0,1.25,4,12,1
2012-12-12,75.0,1.25,5,12,1
2012-12-13,92.0,1.25,6,12,0
2012-12-14,141.0,1.25,7,12,1
2012-12-15,141.0,1.25,1,12,1
2012-12-16,158.0,1.25,2,12,0
2012-12-17,77.0,1.25,3,12,0
2012-12-18,98.0,1.25,4,12,0
2012-12-19,142.0,1.25,5,12,0
2012-12-20,128.0,1.25,6,12,0
2012-12-21,123.0,1.25,7,12,0
2012-12-22,157.0,1.25,1,12,0
2012-12-23,200.0,1.25,2,12,0
2012-12-24,253.0,1.25,3,12,0
2012-12-25,112.64346879295817,1.25,4,12,0
2012-12-26,1.0,1.25,5,12,0
2012-12-27,114.0,1.25,6,12,0
2012-12-28,147.0,1.25,7,12,0
2012-12-29,194.0,1.25,1,12,0
2012-12-30,200.0,1.25,2,12,0
2012-12-31,225.0,1.25,3,12,0
2013-01-01,82.0,1.25,4,1,0
2013-01-02,122.0,1.25,5,1,1
2013-01-03,94.0,1.25,6,1,1
2013-01-04,132.0,1.25,7,1,0
2013-01-05,174.0,1.25,1,1,1
2013-01-06,167.0,1.25,2,1,1
2013-01-07,93.0,1.25,3,1,0
2013-01-08,95.0,1.25,4,1,1
2013-01-09,109.0,1.25,5,1,1
2013-01-10,123.0,1.25,6,1,0
2013-01-11,153.0,1.25,7,1,1
2013-01-12,211.0,1.25,1,1,1
2013-01-13,135.0,1.25,2,1,0
2013-01-14,79.0,1.25,3,1,1
2013-01-15,84.0,1.25,4,1,1
2013-01-16,108.0,1.25,5,1,0
2013-01-17,81.0,1.25,6,1,0
2013-01-18,118.0,1.25,7,1,0
2013-01-19,229.0,1.25,1,1,0
2013-01-20,159.0,1.25,2,1,0
2013-01-21,110.0,1.25,3,1,0
2013-01-22,112.0,1.25,4,1,0
2013-01-23,67.0,1.25,5,1,0
2013-01-24,125.0,1.25,6,1,0
2013-01-25,111.0,1.25,7,1,0
2013-01-26,217.0,1.25,1,1,0
2013-01-27,130.0,1.25,2,1,0
2013-01-28,86.0,1.25,3,1,0
2013-01-29,78.0,1.25,4,1,0
2013-01-30,85.0,1.25,5,1,0
2013-01-31,91.0,1.25,6,1,0
2013-02-01,98.0,1.25,7,2,0
2013-02-02,240.0,1.25,1,2,1
2013-02-03,184.0,1.25,2,2,1
2013-02-04,106.0,1.25,3,2,0
2013-02-05,105.0,1.25,4,2,1
2013-02-06,87.0,1.25,5,2,1
2013-02-07,72.0,1.25,6,2,0
2013-02-08,158.0,1.25,7,2,1
2013-02-09,266.0,1.25,1,2,1
2013-02-10,108.0,1.25,2,2,0
2013-02-11,70.0,1.25,3,2,1
2013-02-12,115.0,1.25,4,2,1
2013-02-13,104.0,1.25,5,2,0
2013-02-14,66.0,1.25,6,2,1
2013-02-15,115.0,1.25,7,2,1
2013-02-16,170.0,1.25,1,2,0
2013-02-17,169.0,1.25,2,2,0
2013-02-18,60.0,1.25,3,2,0
2013-02-19,50.0,1.25,4,2,0
2013-02-20,68.0,1.25,5,2,0
2013-02-21,60.0,1.25,6,2,0
2013-02-22,105.0,1.25,7,2,0
2013-02-23,148.0,1.25,1,2,0
2013-02-24,163.0,1.25,2,2,0
2013-02-25,81.0,1.25,3,2,0
2013-02-26,69.0,1.25,4,2,0
2013-02-27,64.0,1.25,5,2,0
2013-02-28,76.0,1.25,6,2,0
2013-03-01,137.0,1.25,7,3,0
2013-03-02,177.0,1.25,1,3,1
2013-03-03,137.0,1.25,2,3,1
2013-03-04,115.0,1.25,3,3,0
2013-03-05,84.0,1.25,4,3,1
2013-03-06,69.0,1.25,5,3,1
2013-03-07,56.0,1.25,6,3,0
2013-03-08,120.0,1.25,7,3,1
2013-03-09,140.0,1.25,1,3,1
2013-03-10,144.0,1.25,2,3,0
2013-03-11,100.0,1.25,3,3,1
2013-03-12,89.0,1.25,4,3,1
2013-03-13,75.0,1.25,5,3,0
2013-03-14,71.0,1.25,6,3,1
2013-03-15,110.0,1.25,7,3,1
2013-03-16,146.0,1.25,1,3,0
2013-03-17,84.0,1.25,2,3,0
2013-03-18,68.0,1.25,3,3,0
2013-03-19,101.0,1.25,4,3,0
2013-03-20,63.0,1.25,5,3,0
2013-03-21,69.0,1.25,6,3,0
2013-03-22,120.0,1.25,7,3,0
2013-03-23,155.0,1.25,1,3,0
2013-03-24,111.0,1.25,2,3,0
2013-03-25,71.0,1.25,3,3,0
2013-03-26,66.0,1.25,4,3,0
2013-03-27,63.0,1.25,5,3,0
2013-03-28,48.0,1.25,6,3,0
2013-03-29,120.0,1.25,7,3,0
2013-03-30,167.0,1.25,1,3,0
2013-03-31,108.0,1.25,2,3,0
2013-04-01,62.0,1.25,3,4,0
2013-04-02,122.0,1.25,4,4,1
2013-04-03,105.0,1.25,5,4,1
2013-04-04,69.0,1.25,6,4,0
2013-04-05,128.0,1.25,7,4,1
2013-04-06,75.0,1.38,1,4,1
2013-04-07,109.0,1.38,2,4,0
2013-04-08,56.0,1.38,3,4,1
2013-04-09,62.0,1.38,4,4,1
2013-04-10,47.0,1.38,5,4,0
2013-04-11,59.0,1.38,6,4,1
2013-04-12,111.0,1.38,7,4,1
2013-04-13,120.0,1.38,1,4,0
2013-04-14,55.0,1.38,2,4,1
2013-04-15,58.0,1.38,3,4,1
2013-04-16,50.0,1.38,4,4,0
2013-04-17,47.0,1.38,5,4,0
2013-04-18,29.0,1.38,6,4,0
2013-04-19,86.0,1.38,7,4,0
2013-04-20,72.0,1.38,1,4,0
2013-04-21,58.0,1.38,2,4,0
2013-04-22,36.0,1.38,3,4,0
2013-04-23,50.0,1.38,4,4,0
2013-04-24,50.0,1.38,5,4,0
2013-04-25,73.0,1.38,6,4,0
2013-04-26,78.0,1.38,7,4,0
2013-04-27,94.0,1.38,1,4,0
2013-04-28,58.0,1.38,2,4,0
2013-04-29,35.0,1.38,3,4,0
2013-04-30,26.0,1.38,4,4,0
2013-05-01,49.0,1.38,5,5,0
